price;min_to_metro;region_of_moscow;total_area;living_area;floor;number_of_floors;construction_year;is_new;is_apartments;ceiling_height;number_of_rooms;link
7600000;9;WAR;32,6;18;10;12;1979;0;0;2,7;1;https://www.cian.ru/sale/flat/291066914/
7600000;3;;33;19;2;9;1976;0;0;2,64;1;https://www.cian.ru/sale/flat/300708101/
7600000;10;EAR;25;;6;9;1972;0;0;2,64;1;https://www.cian.ru/sale/flat/300460233/
7600000;4;SWAR;37,7;17,7;2;14;2009;0;0;2,7;1;https://www.cian.ru/sale/flat/298991889/
7650000;19;NAR;35;22;4;7;2022;0;1;4,2;1;https://www.cian.ru/sale/flat/298702852/
7650000;18;NEAR;31,5;19;6;18;;0;1;3,1;1;https://www.cian.ru/sale/flat/300384115/
7680000;11;CAR;17,3;;1;5;1928;;;;1;https://www.cian.ru/sale/flat/299985179/
7700000;9;NWAR;29;19;14;24;;0;1;3;1;https://www.cian.ru/sale/flat/299935320/
7700000;6;SAR;32;18,2;7;9;1974;0;0;2,64;1;https://www.cian.ru/sale/flat/297425926/
7700000;;SAR;31;;1;17;;0;1;;1;https://www.cian.ru/sale/flat/300418736/
7700000;11;NEAR;21;14;3;9;1971;0;0;2,64;1;https://www.cian.ru/sale/flat/300078174/
7700000;15;SWAR;35;15;12;14;2008;0;0;2,64;1;https://www.cian.ru/sale/flat/296254383/
7700000;6;SAR;22;13;6;9;1970;0;0;2,64;1;https://www.cian.ru/sale/flat/300939633/
7749999;4;NEAR;29,5;;1;5;1955;0;1;3;1;https://www.cian.ru/sale/flat/300775172/
7750000;14;SEAR;23;12;5;16;;0;0;;1;https://www.cian.ru/sale/flat/298521910/
7750000;9;NAR;19;15;4;5;;0;1;3,1;1;https://www.cian.ru/sale/flat/284697038/
7750000;20;SWAR;34;17,1;3;5;1986;0;0;;1;https://www.cian.ru/sale/flat/299057343/
7769500;8;NEAR;37,65;13,2;4;8;2024;1;1;2,8;1;https://www.cian.ru/sale/flat/297367493/
7790000;9;NEAR;31,8;;1;12;1973;0;0;2,64;1;https://www.cian.ru/sale/flat/300225912/
7800000;11;EAR;31,8;18;1;9;1966;0;0;2,64;1;https://www.cian.ru/sale/flat/300553532/
7800000;17;CAR;15,3;7,3;1;7;2020;0;1;4,7;1;https://www.cian.ru/sale/flat/298976264/
7800000;6;NWAR;20,7;;4;4;;0;1;;1;https://www.cian.ru/sale/flat/298261390/
7800000;11;SAR;18;9;2;4;1999;0;1;;1;https://www.cian.ru/sale/flat/300745951/
7800000;7;CAR;20,2;;1;2;1899;0;1;;1;https://www.cian.ru/sale/flat/299254045/
7890000;15;SWAR;26,9;11,8;1;9;1978;0;0;2,64;1;https://www.cian.ru/sale/flat/297727663/
7890000;7;;32,5;18,8;9;9;;0;0;2,5;1;https://www.cian.ru/sale/flat/295787702/
7900000;4;SEAR;34,64;;9;26;2025;1;0;;1;https://www.cian.ru/sale/flat/300209520/
7900000;9;EAR;37;19;4;4;;0;1;;1;https://www.cian.ru/sale/flat/298298332/
7900000;6;EAR;35,1;20,8;3;9;;0;0;;1;https://www.cian.ru/sale/flat/293651268/
7900000;4;EAR;30;18;1;9;1968;0;0;2,64;1;https://www.cian.ru/sale/flat/299205665/
7900000;19;SEAR;23,2;11;19;25;2023;0;0;2,6;1;https://www.cian.ru/sale/flat/297515488/
7900000;15;WAR;19,6;15;12;22;1980;0;1;2,65;1;https://www.cian.ru/sale/flat/294621795/
7900000;5;NWAR;26,4;;13;22;2022;0;1;;1;https://www.cian.ru/sale/flat/296629506/
7900000;12;SWAR;43,4;20;16;17;2008;0;0;2,7;1;https://www.cian.ru/sale/flat/300894774/
7900000;11;SWAR;43,4;19,8;13;17;2008;0;0;;1;https://www.cian.ru/sale/flat/300592828/
7900000;3;EAR;33;19;2;9;1976;0;0;2,7;1;https://www.cian.ru/sale/flat/300892104/
7900000;8;SAR;34,7;19,6;9;12;1975;0;0;2,5;1;https://www.cian.ru/sale/flat/300526999/
7950000;13;SWAR;27,6;14,1;7;7;2001;0;0;2,64;1;https://www.cian.ru/sale/flat/299962900/
7950000;20;SAR;32,2;19;1;9;1971;0;0;2,64;1;https://www.cian.ru/sale/flat/300437152/
7950000;3;EAR;32,6;18;2;12;1966;0;0;2,64;1;https://www.cian.ru/sale/flat/300050892/
7950000;4;EAR;33,2;18;6;9;1967;0;0;2,64;1;https://www.cian.ru/sale/flat/300557845/
7950000;16;SEAR;31;18;9;9;1962;0;0;2,64;1;https://www.cian.ru/sale/flat/297818711/
7980000;;SEAR;37;21;4;9;;0;1;;1;https://www.cian.ru/sale/flat/300294201/
7990000;4;EAR;30,4;18;7;9;;0;0;;1;https://www.cian.ru/sale/flat/297551830/
7990000;14;EAR;33;17;5;5;1960;0;0;2,8;1;https://www.cian.ru/sale/flat/296182391/
7990000;19;SWAR;38,2;;12;16;2009;0;0;;1;https://www.cian.ru/sale/flat/298901375/
